No,住所,データ整理特筆事項,ファイル名
209,青森県おいらせ町,0,2412
210,青森県大間町,0,2423
211,青森県東通村,0,2424
212,青森県風間浦村,0,2425
213,青森県佐井村,0,2426
214,青森県三戸町,0,2441
215,青森県五戸町,0,2442
216,青森県田子町,0,2443
217,青森県南部町,0,2445
218,青森県階上町,0,2446
219,青森県新郷村,0,2450
220,岩手県盛岡市,0,3201
221,岩手県宮古市,0,3202
222,岩手県大船渡市,0,3203
223,岩手県花巻市,0,3205
224,岩手県北上市,0,3206
225,岩手県久慈市,0,3207
226,岩手県遠野市,0,3208
227,岩手県一関市,0,3209
228,岩手県陸前高田市,0,3210
229,岩手県釜石市,0,3211
230,岩手県二戸市,0,3213
231,岩手県八幡平市,0,3214
232,岩手県奥州市,0,3215
233,岩手県滝沢市,0,3216
234,岩手県雫石町,0,3301
235,岩手県葛巻町,0,3302
236,岩手県岩手町,0,3303
237,岩手県紫波町,0,3321
238,岩手県矢巾町,0,3322
239,岩手県西和賀町,0,3366
240,岩手県金ケ崎町,0,3381
241,岩手県平泉町,0,3402
242,岩手県住田町,0,3441
243,岩手県大槌町,0,3461
244,岩手県山田町,0,3482
245,岩手県岩泉町,0,3483
246,岩手県田野畑村,0,3484
247,岩手県普代村,0,3485
248,岩手県軽米町,0,3501
249,岩手県野田村,0,3503
250,岩手県九戸村,0,3506
251,岩手県洋野町,0,3507
252,岩手県一戸町,0,3524
253,宮城県仙台市,0,4100
254,宮城県石巻市,0,4202
255,宮城県塩竈市,0,4203
256,宮城県気仙沼市,未提出,4205
257,宮城県白石市,0,4206
258,宮城県名取市,0,4207
259,宮城県角田市,0,4208
260,宮城県多賀城市,0,4209
261,宮城県岩沼市,0,4211
262,宮城県登米市,0,4212
263,宮城県栗原市,0,4213
264,宮城県東松島市,0,4214
265,宮城県大崎市,0,4215
266,宮城県富谷市,0,4216
267,宮城県蔵王町,0,4301
268,宮城県七ヶ宿町,未提出,4302
269,宮城県大河原町,0,4321
270,宮城県村田町,0,4322
271,宮城県柴田町,0,4323
272,宮城県川崎町,0,4324
273,宮城県丸森町,0,4341
274,宮城県亘理町,0,4361
275,宮城県山元町,0,4362
276,宮城県松島町,0,4401
277,宮城県七ヶ浜町,0,4404
278,宮城県利府町,0,4406
279,宮城県大和町,0,4421
280,宮城県大郷町,0,4422
281,宮城県大衡村,0,4424
282,宮城県色麻町,0,4444
283,宮城県加美町,0,4445
284,宮城県涌谷町,未提出,4501
285,宮城県美里町,未提出,4505
286,宮城県女川町,未提出,4581
287,宮城県南三陸町,0,4606
288,秋田県秋田市,0,5201
289,秋田県能代市,0,5202
290,秋田県横手市,0,5203
291,秋田県大館市,0,5204
292,秋田県男鹿市,0,5206
293,秋田県湯沢市,0,5207
294,秋田県鹿角市,0,5209
295,秋田県由利本荘市,0,5210
296,秋田県潟上市,0,5211
297,秋田県大仙市,0,5212
298,秋田県北秋田市,0,5213
299,秋田県にかほ市,0,5214
300,秋田県仙北市,0,5215
301,秋田県小坂町,0,5303
302,秋田県上小阿仁村,0,5327
303,秋田県藤里町,0,5346
304,秋田県三種町,0,5348
305,秋田県八峰町,0,5349
306,秋田県五城目町,0,5361
307,秋田県八郎潟町,0,5363
308,秋田県井川町,0,5366
309,秋田県大潟村,0,5368
310,秋田県美郷町,0,5434
311,秋田県羽後町,0,5463
312,秋田県東成瀬村,0,5464
313,山形県山形市,0,6201
314,山形県米沢市,0,6202
315,山形県鶴岡市,0,6203
316,山形県酒田市,0,6204
317,山形県新庄市,0,6205
318,山形県寒河江市,0,6206
319,山形県上山市,0,6207
320,山形県村山市,0,6208
321,山形県長井市,0,6209
322,山形県天童市,0,6210
323,山形県東根市,0,6211
324,山形県尾花沢市,0,6212
325,山形県南陽市,0,6213
326,山形県山辺町,0,6301
327,山形県中山町,0,6302
328,山形県河北町,0,6321
329,山形県西川町,0,6322
330,山形県朝日町,0,6323
331,山形県大江町,0,6324
332,山形県大石田町,0,6341
333,山形県金山町,0,6361
334,山形県最上町,0,6362
335,山形県舟形町,0,6363
336,山形県真室川町,0,6364
337,山形県大蔵村,0,6365
338,山形県鮭川村,0,6366
339,山形県戸沢村,0,6367
340,山形県高畠町,0,6381
341,山形県川西町,0,6382
342,山形県小国町,0,6401
343,山形県白鷹町,0,6402
344,山形県飯豊町,0,6403
345,山形県三川町,0,6426
346,山形県庄内町,0,6428
347,山形県遊佐町,0,6461
348,福島県福島市,0,7201
349,福島県会津若松市,0,7202
350,福島県郡山市,0,7203
351,福島県いわき市,0,7204
352,福島県白河市,0,7205
353,福島県須賀川市,0,7207
354,福島県喜多方市,0,7208
355,福島県相馬市,0,7209
356,福島県二本松市,0,7210
357,福島県田村市,0,7211
358,福島県南相馬市,0,7212
359,福島県伊達市,0,7213
360,福島県本宮市,0,7214
361,福島県桑折町,0,7301
362,福島県国見町,0,7303
363,福島県川俣町,0,7308
364,福島県大玉村,0,7322
365,福島県鏡石町,0,7342
366,福島県天栄村,0,7344
367,福島県下郷町,0,7362
368,福島県檜枝岐村,0,7364
369,福島県只見町,0,7367
370,福島県南会津町,0,7368
371,福島県北塩原村,0,7402
372,福島県西会津町,0,7405
373,福島県磐梯町,0,7407
374,福島県猪苗代町,0,7408
375,福島県会津坂下町,0,7421
376,福島県湯川村,0,7422
377,福島県柳津町,0,7423
378,福島県三島町,0,7444
379,福島県金山町,0,7445
380,福島県昭和村,0,7446
381,福島県会津美里町,0,7447
382,福島県西郷村,0,7461
383,福島県泉崎村,0,7464
384,福島県中島村,0,7465
385,福島県矢吹町,0,7466
386,福島県棚倉町,0,7481
387,福島県矢祭町,0,7482
388,福島県塙町,0,7483
389,福島県鮫川村,0,7484
390,福島県石川町,0,7501
391,福島県玉川村,0,7502
392,福島県平田村,0,7503
393,福島県浅川町,0,7504
394,福島県古殿町,0,7505
395,福島県三春町,0,7521
396,福島県小野町,0,7522
397,福島県広野町,0,7541
398,福島県楢葉町,0,7542
399,福島県富岡町,0,7543
400,福島県川内村,0,7544
401,福島県大熊町,0,7545
402,福島県双葉町,未提出,7546
403,福島県浪江町,未提出,7547
404,福島県葛尾村,0,7548
405,福島県新地町,0,7561
406,福島県飯舘村,未提出,7564
407,茨城県水戸市,0,8201
408,茨城県日立市,0,8202
409,茨城県土浦市,0,8203
410,茨城県古河市,0,8204
411,茨城県石岡市,0,8205
412,茨城県結城市,0,8207
413,茨城県龍ケ崎市,0,8208
414,茨城県下妻市,0,8210
415,茨城県常総市,0,8211
416,茨城県常陸太田市,0,8212
417,茨城県高萩市,0,8214
418,茨城県北茨城市,0,8215
419,茨城県笠間市,0,8216
420,茨城県取手市,0,8217
421,茨城県牛久市,0,8219
422,茨城県つくば市,0,8220
423,茨城県ひたちなか市,未提出,8221
424,茨城県鹿嶋市,0,8222
425,茨城県潮来市,0,8223
426,茨城県守谷市,0,8224
427,茨城県常陸大宮市,0,8225
428,茨城県那珂市,0,8226
429,茨城県筑西市,0,8227
430,茨城県坂東市,0,8228
431,茨城県稲敷市,0,8229
432,茨城県かすみがうら市,0,8230
433,茨城県桜川市,0,8231
434,茨城県神栖市,0,8232
435,茨城県行方市,0,8233
436,茨城県鉾田市,0,8234
437,茨城県つくばみらい市,0,8235
438,茨城県小美玉市,0,8236
439,茨城県茨城町,0,8302
440,茨城県大洗町,0,8309
441,茨城県城里町,0,8310
442,茨城県東海村,0,8341
443,茨城県大子町,0,8364
444,茨城県美浦村,0,8442
445,茨城県阿見町,0,8443
446,茨城県河内町,0,8447
447,茨城県八千代町,0,8521
448,茨城県五霞町,0,8542
449,茨城県境町,0,8546
450,茨城県利根町,0,8564
451,栃木県宇都宮市,0,9201
452,栃木県足利市,0,9202
453,栃木県栃木市,0,9203
454,栃木県佐野市,0,9204
455,栃木県鹿沼市,0,9205
456,栃木県日光市,0,9206
457,栃木県小山市,0,9208
458,栃木県真岡市,0,9209
459,栃木県大田原市,0,9210
460,栃木県矢板市,0,9211
461,栃木県那須塩原市,未提出,9213
462,栃木県さくら市,0,9214
463,栃木県那須烏山市,0,9215
464,栃木県下野市,0,9216
465,栃木県上三川町,0,9301
466,栃木県益子町,0,9342
467,栃木県茂木町,0,9343
468,栃木県市貝町,0,9344
469,栃木県芳賀町,0,9345
470,栃木県壬生町,0,9361
471,栃木県野木町,0,9364
472,栃木県塩谷町,0,9384
473,栃木県高根沢町,0,9386
474,栃木県那須町,0,9407
475,栃木県那珂川町,0,9411
476,群馬県前橋市,0,10201
477,群馬県高崎市,0,10202
478,群馬県桐生市,0,10203
479,群馬県伊勢崎市,0,10204
480,群馬県太田市,0,10205
481,群馬県沼田市,0,10206
482,群馬県館林市,0,10207
483,群馬県渋川市,0,10208
484,群馬県藤岡市,0,10209
485,群馬県富岡市,0,10210
486,群馬県安中市,0,10211
487,群馬県みどり市,0,10212
488,群馬県榛東村,0,10344
489,群馬県吉岡町,0,10345
490,群馬県上野村,0,10366
491,群馬県神流町,0,10367
492,群馬県下仁田町,0,10382
493,群馬県南牧村,0,10383
494,群馬県甘楽町,0,10384
495,群馬県中之条町,0,10421
496,群馬県長野原町,0,10424
497,群馬県嬬恋村,0,10425
498,群馬県草津町,0,10426
499,群馬県高山村,0,10428
500,群馬県東吾妻町,0,10429
501,群馬県片品村,0,10443
502,群馬県川場村,0,10444
503,群馬県昭和村,0,10448
504,群馬県みなかみ町,0,10449
505,群馬県玉村町,0,10464
506,群馬県板倉町,0,10521
507,群馬県明和町,0,10522
508,群馬県千代田町,0,10523
509,群馬県大泉町,0,10524
510,群馬県邑楽町,0,10525
511,埼玉県さいたま市,0,11100
512,埼玉県川越市,0,11201
513,埼玉県熊谷市,0,11202
514,埼玉県川口市,0,11203
515,埼玉県行田市,0,11206
516,埼玉県秩父市,0,11207
517,埼玉県所沢市,0,11208
518,埼玉県飯能市,0,11209
519,埼玉県加須市,0,11210
520,埼玉県本庄市,0,11211
521,埼玉県東松山市,0,11212
522,埼玉県春日部市,0,11214
523,埼玉県狭山市,0,11215
524,埼玉県羽生市,0,11216
525,埼玉県鴻巣市,0,11217
526,埼玉県深谷市,0,11218
527,埼玉県上尾市,0,11219
528,埼玉県草加市,0,11221
529,埼玉県越谷市,0,11222
530,埼玉県蕨市,0,11223
531,埼玉県戸田市,0,11224
532,埼玉県入間市,0,11225
533,埼玉県朝霞市,0,11227
534,埼玉県志木市,0,11228
535,埼玉県和光市,0,11229
536,埼玉県新座市,0,11230
537,埼玉県桶川市,0,11231
538,埼玉県久喜市,0,11232
539,埼玉県北本市,0,11233
540,埼玉県八潮市,0,11234
541,埼玉県富士見市,0,11235
542,埼玉県三郷市,0,11237
543,埼玉県蓮田市,0,11238
544,埼玉県坂戸市,0,11239
545,埼玉県幸手市,0,11240
546,埼玉県鶴ヶ島市,0,11241
547,埼玉県日高市,0,11242
548,埼玉県吉川市,0,11243
549,埼玉県ふじみ野市,0,11245
550,埼玉県白岡市,0,11246
551,埼玉県伊奈町,0,11301
552,埼玉県三芳町,0,11324
553,埼玉県毛呂山町,0,11326
554,埼玉県越生町,0,11327
555,埼玉県滑川町,0,11341
556,埼玉県嵐山町,0,11342
557,埼玉県小川町,0,11343
558,埼玉県川島町,0,11346
559,埼玉県吉見町,0,11347
560,埼玉県鳩山町,0,11348
561,埼玉県ときがわ町,0,11349
562,埼玉県横瀬町,0,11361
563,埼玉県皆野町,0,11362
564,埼玉県長瀞町,0,11363
565,埼玉県小鹿野町,0,11365
566,埼玉県東秩父村,0,11369
567,埼玉県美里町,0,11381
568,埼玉県神川町,0,11383
569,埼玉県上里町,0,11385
570,埼玉県寄居町,0,11408
571,埼玉県宮代町,0,11442
572,埼玉県杉戸町,0,11464
573,埼玉県松伏町,0,11465
574,千葉県千葉市,0,12100
575,千葉県銚子市,0,12202
576,千葉県市川市,0,12203
577,千葉県船橋市,0,12204
578,千葉県館山市,0,12205
579,千葉県木更津市,0,12206
580,千葉県松戸市,0,12207
581,千葉県野田市,0,12208
582,千葉県茂原市,0,12210
583,千葉県成田市,0,12211
584,千葉県佐倉市,0,12212
585,千葉県東金市,0,12213
586,千葉県旭市,0,12215
587,千葉県習志野市,0,12216
588,千葉県柏市,0,12217
589,千葉県勝浦市,0,12218
590,千葉県市原市,0,12219
591,千葉県流山市,0,12220
592,千葉県八千代市,0,12221
593,千葉県我孫子市,0,12222
594,千葉県鴨川市,0,12223
595,千葉県鎌ケ谷市,0,12224
596,千葉県君津市,0,12225
597,千葉県富津市,0,12226
598,千葉県浦安市,0,12227
599,千葉県四街道市,0,12228
600,千葉県袖ケ浦市,0,12229
601,千葉県八街市,0,12230
602,千葉県印西市,0,12231
603,千葉県白井市,0,12232
604,千葉県富里市,0,12233
605,千葉県南房総市,0,12234
606,千葉県匝瑳市,0,12235
607,千葉県香取市,0,12236
608,千葉県山武市,0,12237
609,千葉県いすみ市,0,12238
610,千葉県大網白里市,0,12239
611,千葉県酒々井町,0,12322
612,千葉県栄町,0,12329
613,千葉県神崎町,0,12342
614,千葉県多古町,0,12347
615,千葉県東庄町,0,12349
616,千葉県九十九里町,0,12403
617,千葉県芝山町,0,12409
618,千葉県横芝光町,0,12410
619,千葉県一宮町,0,12421
620,千葉県睦沢町,0,12422
621,千葉県長生村,0,12423
622,千葉県白子町,0,12424
623,千葉県長柄町,0,12426
624,千葉県長南町,0,12427
625,千葉県大多喜町,0,12441
626,千葉県御宿町,0,12443
627,千葉県鋸南町,0,12463
628,東京都千代田区,未提出,13101
629,東京都中央区,0,13102
630,東京都港区,0,13103
631,東京都新宿区,0,13104
632,東京都文京区,0,13105
633,東京都台東区,未提出,13106
634,東京都墨田区,未提出,13107
635,東京都江東区,未提出,13108
636,東京都品川区,未提出,13109
637,東京都目黒区,0,13110
638,東京都大田区,未提出,13111
639,東京都世田谷区,0,13112
640,東京都渋谷区,未提出,13113
641,東京都中野区,未提出,13114
642,東京都杉並区,0,13115
643,東京都豊島区,0,13116
644,東京都北区,未提出,13117
645,東京都荒川区,0,13118
646,東京都板橋区,0,13119
647,東京都練馬区,0,13120
648,東京都足立区,0,13121
649,東京都葛飾区,0,13122
650,東京都江戸川区,0,13123
651,東京都八王子市,0,13201
652,東京都立川市,0,13202
653,東京都武蔵野市,0,13203
654,東京都三鷹市,0,13204
655,東京都青梅市,0,13205
656,東京都府中市,0,13206
657,東京都昭島市,未提出,13207
658,東京都調布市,0,13208
659,東京都町田市,0,13209
660,東京都小金井市,0,13210
661,東京都小平市,0,13211
662,東京都日野市,0,13212
663,東京都東村山市,0,13213
664,東京都国分寺市,0,13214
665,東京都国立市,0,13215
666,東京都福生市,0,13218
667,東京都狛江市,0,13219
668,東京都東大和市,0,13220
669,東京都清瀬市,0,13221
670,東京都東久留米市,0,13222
671,東京都武蔵村山市,未提出,13223
672,東京都多摩市,0,13224
673,東京都稲城市,0,13225
674,東京都羽村市,0,13227
675,東京都あきる野市,0,13228
676,東京都西東京市,0,13229
677,東京都瑞穂町,0,13303
678,東京都日の出町,0,13305
679,東京都檜原村,0,13307
680,東京都奥多摩町,未提出,13308
681,東京都大島町,0,13361
682,東京都利島村,未提出,13362
683,東京都新島村,0,13363
684,東京都神津島村,0,13364
685,東京都三宅村,0,13381
686,東京都御蔵島村,0,13382
687,東京都八丈町,0,13401
688,東京都青ヶ島村,未提出,13402
689,東京都小笠原村,0,13421
690,神奈川県横浜市,0,14100
691,神奈川県川崎市,0,14130
692,神奈川県相模原市,0,14150
693,神奈川県横須賀市,0,14201
694,神奈川県平塚市,0,14203
695,神奈川県鎌倉市,未提出,14204
696,神奈川県藤沢市,0,14205
697,神奈川県小田原市,0,14206
698,神奈川県茅ヶ崎市,0,14207
699,神奈川県逗子市,0,14208
700,神奈川県三浦市,0,14210
701,神奈川県秦野市,0,14211
702,神奈川県厚木市,0,14212
703,神奈川県大和市,0,14213
704,神奈川県伊勢原市,未提出,14214
705,神奈川県海老名市,0,14215
706,神奈川県座間市,0,14216
707,神奈川県南足柄市,未提出,14217
708,神奈川県綾瀬市,0,14218
709,神奈川県葉山町,0,14301
710,神奈川県寒川町,未提出,14321
711,神奈川県大磯町,0,14341
712,神奈川県二宮町,0,14342
713,神奈川県中井町,0,14361
714,神奈川県大井町,未提出,14362
715,神奈川県松田町,未提出,14363
716,神奈川県山北町,未提出,14364
717,神奈川県開成町,未提出,14366
718,神奈川県箱根町,未提出,14382
719,神奈川県真鶴町,0,14383
720,神奈川県湯河原町,0,14384
721,神奈川県愛川町,0,14401
722,神奈川県清川村,0,14402
723,新潟県新潟市,0,15100
724,新潟県長岡市,0,15202
725,新潟県三条市,0,15204
726,新潟県柏崎市,0,15205
727,新潟県新発田市,0,15206
728,新潟県小千谷市,0,15208
729,新潟県加茂市,0,15209
730,新潟県十日町市,0,15210
731,新潟県見附市,0,15211
732,新潟県村上市,0,15212
733,新潟県燕市,0,15213
734,新潟県糸魚川市,0,15216
735,新潟県妙高市,0,15217
736,新潟県五泉市,0,15218
737,新潟県上越市,0,15222
738,新潟県阿賀野市,0,15223
739,新潟県佐渡市,0,15224
740,新潟県魚沼市,0,15225
741,新潟県南魚沼市,0,15226
742,新潟県胎内市,0,15227
743,新潟県聖籠町,0,15307
744,新潟県弥彦村,0,15342
745,新潟県田上町,0,15361
746,新潟県阿賀町,未提出,15385
747,新潟県出雲崎町,0,15405
748,新潟県湯沢町,0,15461
749,新潟県津南町,未提出,15482
750,新潟県刈羽村,未提出,15504
751,新潟県関川村,0,15581
752,新潟県粟島浦村,0,15586
753,富山県富山市,0,16201
754,富山県高岡市,0,16202
755,富山県魚津市,0,16204
756,富山県氷見市,0,16205
757,富山県滑川市,0,16206
758,富山県黒部市,0,16207
759,富山県砺波市,0,16208
760,富山県小矢部市,0,16209
761,富山県南砺市,0,16210
762,富山県射水市,0,16211
763,富山県舟橋村,未提出,16321
764,富山県上市町,0,16322
765,富山県立山町,0,16323
766,富山県入善町,0,16342
767,富山県朝日町,0,16343
768,石川県金沢市,0,17201
769,石川県七尾市,0,17202
770,石川県小松市,0,17203
771,石川県輪島市,0,17204
772,石川県珠洲市,0,17205
773,石川県加賀市,0,17206
774,石川県羽咋市,0,17207
775,石川県かほく市,0,17209
776,石川県白山市,0,17210
777,石川県能美市,0,17211
778,石川県野々市市,0,17212
779,石川県川北町,0,17324
780,石川県津幡町,0,17361
781,石川県内灘町,0,17365
782,石川県志賀町,0,17384
783,石川県宝達志水町,0,17386
784,石川県中能登町,0,17407
785,石川県穴水町,0,17461
786,石川県能登町,0,17463
787,福井県福井市,0,18201
788,福井県敦賀市,0,18202
789,福井県小浜市,0,18204
790,福井県大野市,0,18205
791,福井県勝山市,0,18206
792,福井県鯖江市,0,18207
793,福井県あわら市,0,18208
794,福井県越前市,0,18209
795,福井県坂井市,0,18210
796,福井県永平寺町,0,18322
797,福井県池田町,0,18382
798,福井県南越前町,0,18404
799,福井県越前町,0,18423
800,福井県美浜町,0,18442
801,福井県高浜町,0,18481
802,福井県おおい町,0,18483
803,福井県若狭町,0,18501
804,山梨県甲府市,0,19201
805,山梨県富士吉田市,0,19202
806,山梨県都留市,0,19204
807,山梨県山梨市,0,19205
